8.7815 	EXP 	window1: blendMode = 'avg'
8.7835 	EXP 	window1: blendMode = 'avg'
8.7855 	EXP 	window1: blendMode = 'avg'
8.7888 	EXP 	window1: blendMode = 'avg'
8.7907 	EXP 	window1: blendMode = 'avg'
8.7948 	EXP 	window1: blendMode = 'avg'
8.7973 	EXP 	window1: blendMode = 'avg'
8.7993 	EXP 	window1: blendMode = 'avg'
8.8013 	EXP 	window1: blendMode = 'avg'
8.8045 	EXP 	window1: blendMode = 'avg'
8.8064 	EXP 	window1: blendMode = 'avg'
8.8083 	EXP 	window1: blendMode = 'avg'
8.8105 	EXP 	window1: blendMode = 'avg'
8.8129 	EXP 	window1: blendMode = 'avg'
8.8156 	EXP 	window1: blendMode = 'avg'
8.8178 	EXP 	window1: blendMode = 'avg'
8.8211 	EXP 	window1: blendMode = 'avg'
8.8230 	EXP 	window1: blendMode = 'avg'
8.8261 	EXP 	window1: blendMode = 'avg'
8.8285 	EXP 	window1: blendMode = 'avg'
8.8307 	EXP 	window1: blendMode = 'avg'
8.8332 	EXP 	window1: blendMode = 'avg'
8.8351 	EXP 	window1: blendMode = 'avg'
8.8383 	EXP 	window1: blendMode = 'avg'
8.8403 	EXP 	window1: blendMode = 'avg'
8.8422 	EXP 	window1: blendMode = 'avg'
8.8447 	EXP 	window1: blendMode = 'avg'
8.8469 	EXP 	window1: blendMode = 'avg'
8.8490 	EXP 	window1: blendMode = 'avg'
8.8525 	EXP 	window1: blendMode = 'avg'
8.8562 	EXP 	window1: blendMode = 'avg'
8.8580 	EXP 	window1: blendMode = 'avg'
8.8604 	EXP 	window1: blendMode = 'avg'
8.8627 	EXP 	window1: blendMode = 'avg'
8.8648 	EXP 	window1: blendMode = 'avg'
8.8668 	EXP 	window1: blendMode = 'avg'
8.8687 	EXP 	window1: blendMode = 'avg'
8.8721 	EXP 	window1: blendMode = 'avg'
8.8748 	EXP 	window1: blendMode = 'avg'
8.8767 	EXP 	window1: blendMode = 'avg'
8.8788 	EXP 	window1: blendMode = 'avg'
8.8811 	EXP 	window1: blendMode = 'avg'
8.8831 	EXP 	window1: blendMode = 'avg'
8.8851 	EXP 	window1: blendMode = 'avg'
8.8870 	EXP 	window1: blendMode = 'avg'
8.8917 	EXP 	window1: blendMode = 'avg'
8.8947 	EXP 	window1: blendMode = 'avg'
8.8968 	EXP 	window1: blendMode = 'avg'
8.8988 	EXP 	window1: blendMode = 'avg'
8.9008 	EXP 	window1: blendMode = 'avg'
8.9027 	EXP 	window1: blendMode = 'avg'
8.9046 	EXP 	window1: blendMode = 'avg'
8.9078 	EXP 	window1: blendMode = 'avg'
8.9102 	EXP 	window1: blendMode = 'avg'
8.9128 	EXP 	window1: blendMode = 'avg'
8.9150 	EXP 	window1: blendMode = 'avg'
8.9172 	EXP 	window1: blendMode = 'avg'
8.9191 	EXP 	window1: blendMode = 'avg'
8.9221 	EXP 	window1: blendMode = 'avg'
8.9243 	EXP 	window1: blendMode = 'avg'
8.9263 	EXP 	window1: blendMode = 'avg'
8.9294 	EXP 	window1: blendMode = 'avg'
8.9314 	EXP 	window1: blendMode = 'avg'
8.9333 	EXP 	window1: blendMode = 'avg'
8.9353 	EXP 	window1: blendMode = 'avg'
8.9386 	EXP 	window1: blendMode = 'avg'
8.9405 	EXP 	window1: blendMode = 'avg'
8.9424 	EXP 	window1: blendMode = 'avg'
8.9447 	EXP 	window1: blendMode = 'avg'
8.9475 	EXP 	window1: blendMode = 'avg'
8.9495 	EXP 	window1: blendMode = 'avg'
8.9514 	EXP 	window1: blendMode = 'avg'
8.9546 	EXP 	window1: blendMode = 'avg'
8.9565 	EXP 	window1: blendMode = 'avg'
8.9584 	EXP 	window1: blendMode = 'avg'
8.9606 	EXP 	window1: blendMode = 'avg'
8.9632 	EXP 	window1: blendMode = 'avg'
8.9661 	EXP 	window1: blendMode = 'avg'
8.9680 	EXP 	window1: blendMode = 'avg'
8.9716 	EXP 	window1: blendMode = 'avg'
8.9735 	EXP 	window1: blendMode = 'avg'
8.9754 	EXP 	window1: blendMode = 'avg'
8.9777 	EXP 	window1: blendMode = 'avg'
8.9801 	EXP 	window1: blendMode = 'avg'
8.9821 	EXP 	window1: blendMode = 'avg'
8.9842 	EXP 	window1: blendMode = 'avg'
8.9898 	EXP 	window1: blendMode = 'avg'
8.9917 	EXP 	window1: blendMode = 'avg'
8.9940 	EXP 	window1: blendMode = 'avg'
8.9963 	EXP 	window1: blendMode = 'avg'
8.9986 	EXP 	window1: blendMode = 'avg'
9.0006 	EXP 	window1: blendMode = 'avg'
9.0038 	EXP 	window1: blendMode = 'avg'
9.0058 	EXP 	window1: blendMode = 'avg'
9.0084 	EXP 	window1: blendMode = 'avg'
9.0105 	EXP 	window1: blendMode = 'avg'
9.0128 	EXP 	window1: blendMode = 'avg'
9.0148 	EXP 	window1: blendMode = 'avg'
9.0168 	EXP 	window1: blendMode = 'avg'
9.0214 	EXP 	window1: blendMode = 'avg'
9.0235 	EXP 	window1: blendMode = 'avg'
9.0261 	EXP 	window1: blendMode = 'avg'
9.0284 	EXP 	window1: blendMode = 'avg'
9.0306 	EXP 	window1: blendMode = 'avg'
9.0326 	EXP 	window1: blendMode = 'avg'
9.0345 	EXP 	window1: blendMode = 'avg'
9.0378 	EXP 	window1: blendMode = 'avg'
9.0397 	EXP 	window1: blendMode = 'avg'
9.0425 	EXP 	window1: blendMode = 'avg'
9.0449 	EXP 	window1: blendMode = 'avg'
9.0472 	EXP 	window1: blendMode = 'avg'
9.0492 	EXP 	window1: blendMode = 'avg'
9.0511 	EXP 	window1: blendMode = 'avg'
9.0544 	EXP 	window1: blendMode = 'avg'
9.0563 	EXP 	window1: blendMode = 'avg'
9.0583 	EXP 	window1: blendMode = 'avg'
9.0615 	EXP 	window1: blendMode = 'avg'
9.0637 	EXP 	window1: blendMode = 'avg'
9.0657 	EXP 	window1: blendMode = 'avg'
9.0677 	EXP 	window1: blendMode = 'avg'
9.0709 	EXP 	window1: blendMode = 'avg'
9.0728 	EXP 	window1: blendMode = 'avg'
9.0747 	EXP 	window1: blendMode = 'avg'
9.0772 	EXP 	window1: blendMode = 'avg'
9.0797 	EXP 	window1: blendMode = 'avg'
9.0817 	EXP 	window1: blendMode = 'avg'
9.0863 	EXP 	window1: blendMode = 'avg'
9.0882 	EXP 	window1: blendMode = 'avg'
9.0901 	EXP 	window1: blendMode = 'avg'
9.0921 	EXP 	window1: blendMode = 'avg'
9.0945 	EXP 	window1: blendMode = 'avg'
9.0969 	EXP 	window1: blendMode = 'avg'
9.0989 	EXP 	window1: blendMode = 'avg'
9.1024 	EXP 	window1: blendMode = 'avg'
9.1043 	EXP 	window1: blendMode = 'avg'
9.1062 	EXP 	window1: blendMode = 'avg'
9.1081 	EXP 	window1: blendMode = 'avg'
9.1107 	EXP 	window1: blendMode = 'avg'
9.1131 	EXP 	window1: blendMode = 'avg'
