6.4507 	EXP 	window1: blendMode = 'avg'
6.4528 	EXP 	window1: blendMode = 'avg'
6.4562 	EXP 	window1: blendMode = 'avg'
6.4582 	EXP 	window1: blendMode = 'avg'
6.4603 	EXP 	window1: blendMode = 'avg'
6.4650 	EXP 	window1: blendMode = 'avg'
6.4671 	EXP 	window1: blendMode = 'avg'
6.4691 	EXP 	window1: blendMode = 'avg'
6.4725 	EXP 	window1: blendMode = 'avg'
6.4746 	EXP 	window1: blendMode = 'avg'
6.4779 	EXP 	window1: blendMode = 'avg'
6.4814 	EXP 	window1: blendMode = 'avg'
6.4835 	EXP 	window1: blendMode = 'avg'
6.4855 	EXP 	window1: blendMode = 'avg'
6.4889 	EXP 	window1: blendMode = 'avg'
6.4910 	EXP 	window1: blendMode = 'avg'
6.4931 	EXP 	window1: blendMode = 'avg'
6.4952 	EXP 	window1: blendMode = 'avg'
6.4999 	EXP 	window1: blendMode = 'avg'
6.5122 	EXP 	window1: blendMode = 'avg'
6.5170 	EXP 	window1: blendMode = 'avg'
6.5293 	EXP 	window1: blendMode = 'avg'
6.5342 	EXP 	window1: blendMode = 'avg'
6.5464 	EXP 	window1: blendMode = 'avg'
6.5513 	EXP 	window1: blendMode = 'avg'
6.5607 	EXP 	window1: blendMode = 'avg'
6.5655 	EXP 	window1: blendMode = 'avg'
6.5718 	EXP 	window1: blendMode = 'avg'
6.5739 	EXP 	window1: blendMode = 'avg'
6.5759 	EXP 	window1: blendMode = 'avg'
6.5780 	EXP 	window1: blendMode = 'avg'
6.5800 	EXP 	window1: blendMode = 'avg'
6.5835 	EXP 	window1: blendMode = 'avg'
6.5881 	EXP 	window1: blendMode = 'avg'
6.5902 	EXP 	window1: blendMode = 'avg'
6.5924 	EXP 	window1: blendMode = 'avg'
6.5946 	EXP 	window1: blendMode = 'avg'
6.5967 	EXP 	window1: blendMode = 'avg'
6.6007 	EXP 	window1: blendMode = 'avg'
6.6028 	EXP 	window1: blendMode = 'avg'
6.6049 	EXP 	window1: blendMode = 'avg'
6.6070 	EXP 	window1: blendMode = 'avg'
6.6091 	EXP 	window1: blendMode = 'avg'
6.6111 	EXP 	window1: blendMode = 'avg'
6.6132 	EXP 	window1: blendMode = 'avg'
6.6166 	EXP 	window1: blendMode = 'avg'
6.6187 	EXP 	window1: blendMode = 'avg'
6.6207 	EXP 	window1: blendMode = 'avg'
6.6228 	EXP 	window1: blendMode = 'avg'
6.6249 	EXP 	window1: blendMode = 'avg'
6.6270 	EXP 	window1: blendMode = 'avg'
6.6303 	EXP 	window1: blendMode = 'avg'
6.6327 	EXP 	window1: blendMode = 'avg'
6.6347 	EXP 	window1: blendMode = 'avg'
6.6368 	EXP 	window1: blendMode = 'avg'
6.6389 	EXP 	window1: blendMode = 'avg'
6.6410 	EXP 	window1: blendMode = 'avg'
6.6430 	EXP 	window1: blendMode = 'avg'
6.6451 	EXP 	window1: blendMode = 'avg'
6.6485 	EXP 	window1: blendMode = 'avg'
6.6506 	EXP 	window1: blendMode = 'avg'
6.6527 	EXP 	window1: blendMode = 'avg'
6.6548 	EXP 	window1: blendMode = 'avg'
6.6568 	EXP 	window1: blendMode = 'avg'
6.6589 	EXP 	window1: blendMode = 'avg'
6.6609 	EXP 	window1: blendMode = 'avg'
6.6643 	EXP 	window1: blendMode = 'avg'
6.6664 	EXP 	window1: blendMode = 'avg'
6.6684 	EXP 	window1: blendMode = 'avg'
6.6705 	EXP 	window1: blendMode = 'avg'
6.6726 	EXP 	window1: blendMode = 'avg'
6.6747 	EXP 	window1: blendMode = 'avg'
6.6768 	EXP 	window1: blendMode = 'avg'
6.6801 	EXP 	window1: blendMode = 'avg'
6.6822 	EXP 	window1: blendMode = 'avg'
6.6843 	EXP 	window1: blendMode = 'avg'
6.6863 	EXP 	window1: blendMode = 'avg'
6.6884 	EXP 	window1: blendMode = 'avg'
6.6915 	EXP 	window1: blendMode = 'avg'
6.6936 	EXP 	window1: blendMode = 'avg'
6.6970 	EXP 	window1: blendMode = 'avg'
6.6990 	EXP 	window1: blendMode = 'avg'
6.7011 	EXP 	window1: blendMode = 'avg'
6.7031 	EXP 	window1: blendMode = 'avg'
6.7052 	EXP 	window1: blendMode = 'avg'
6.7073 	EXP 	window1: blendMode = 'avg'
6.7094 	EXP 	window1: blendMode = 'avg'
6.7127 	EXP 	window1: blendMode = 'avg'
6.7148 	EXP 	window1: blendMode = 'avg'
6.7169 	EXP 	window1: blendMode = 'avg'
6.7190 	EXP 	window1: blendMode = 'avg'
6.7222 	EXP 	window1: blendMode = 'avg'
6.7244 	EXP 	window1: blendMode = 'avg'
6.7278 	EXP 	window1: blendMode = 'avg'
6.7298 	EXP 	window1: blendMode = 'avg'
6.7319 	EXP 	window1: blendMode = 'avg'
6.7339 	EXP 	window1: blendMode = 'avg'
6.7360 	EXP 	window1: blendMode = 'avg'
6.7380 	EXP 	window1: blendMode = 'avg'
6.7401 	EXP 	window1: blendMode = 'avg'
6.7435 	EXP 	window1: blendMode = 'avg'
6.7455 	EXP 	window1: blendMode = 'avg'
6.7476 	EXP 	window1: blendMode = 'avg'
6.7496 	EXP 	window1: blendMode = 'avg'
6.7517 	EXP 	window1: blendMode = 'avg'
6.7538 	EXP 	window1: blendMode = 'avg'
6.7558 	EXP 	window1: blendMode = 'avg'
6.7592 	EXP 	window1: blendMode = 'avg'
6.7613 	EXP 	window1: blendMode = 'avg'
6.7633 	EXP 	window1: blendMode = 'avg'
6.7654 	EXP 	window1: blendMode = 'avg'
6.7675 	EXP 	window1: blendMode = 'avg'
6.7695 	EXP 	window1: blendMode = 'avg'
6.7716 	EXP 	window1: blendMode = 'avg'
6.7737 	EXP 	window1: blendMode = 'avg'
6.7770 	EXP 	window1: blendMode = 'avg'
6.7791 	EXP 	window1: blendMode = 'avg'
6.7811 	EXP 	window1: blendMode = 'avg'
6.7832 	EXP 	window1: blendMode = 'avg'
6.7871 	EXP 	window1: blendMode = 'avg'
6.7892 	EXP 	window1: blendMode = 'avg'
6.7926 	EXP 	window1: blendMode = 'avg'
6.7947 	EXP 	window1: blendMode = 'avg'
6.7967 	EXP 	window1: blendMode = 'avg'
6.7988 	EXP 	window1: blendMode = 'avg'
6.8009 	EXP 	window1: blendMode = 'avg'
6.8030 	EXP 	window1: blendMode = 'avg'
6.8051 	EXP 	window1: blendMode = 'avg'
6.8084 	EXP 	window1: blendMode = 'avg'
6.8105 	EXP 	window1: blendMode = 'avg'
6.8126 	EXP 	window1: blendMode = 'avg'
6.8147 	EXP 	window1: blendMode = 'avg'
6.8179 	EXP 	window1: blendMode = 'avg'
6.8201 	EXP 	window1: blendMode = 'avg'
6.8235 	EXP 	window1: blendMode = 'avg'
6.8256 	EXP 	window1: blendMode = 'avg'
6.8277 	EXP 	window1: blendMode = 'avg'
6.8297 	EXP 	window1: blendMode = 'avg'
6.8318 	EXP 	window1: blendMode = 'avg'
6.8339 	EXP 	window1: blendMode = 'avg'
6.8359 	EXP 	window1: blendMode = 'avg'
